Name,Next,Prev,Status,Done,Prev Done,Ready/Waiting
RV VIN Verification  HSMV82042,[[RV Registration]],,,No,,Ready to start
RV Registration,,[[RV Insurance]],[[Driver's License]],[[RV VIN Verification HSMV82042]],[[RV Odometer Reading HSMV82042]],,No,0.25,"Waiting for: RV Insurance, Driver's License, RV VIN Verification  HSMV82042, RV Odometer Reading  HSMV82042"
Proof of Residence,[[Driver's License]],,Done,Yes,,
Driver's License,[[RV Registration]],[[Car Registration]],[[Voter Registration]],[[Proof of Residence]],,No,1,Ready to start
RV Insurance,[[RV Registration]],,Done,Yes,,
Car VIN Verification HSMV82042,[[Car Registration]],,,No,,Ready to start
RV Odometer Reading  HSMV82042,[[RV Registration]],,,No,,Ready to start
Car Registration,,[[Car VIN Verification HSMV82042]],[[Car Insurance]],[[Driver's License]],[[Car Odometer Reading HSMV82042]],,No,0.25,"Waiting for: Car VIN Verification HSMV82042, Car Insurance, Driver's License, Car Odometer Reading  HSMV82042"
Car Insurance,[[Car Registration]],,Done,Yes,,
Car Odometer Reading  HSMV82042,[[Car Registration]],,,No,,Ready to start
Voter Registration,,[[Driver's License]],,No,,Waiting for: Driver's License
