Name,Assign,Attachments,Due,Label,Status
Get new checks once Philip/Shelley move into new house,,,"Jun 30, 2019 12:00 PM (CDT)",,To-Do
Monthly spreadsheets,,,"Apr 30, 2019 12:00 PM (CDT)",,To-Do
After Philip moves - Change mailing address at all credit cards/banks/etc. !,,,,,Done
Monthly spreadsheets,,,"Apr 6, 2019 12:00 PM (CST)",,Done
Try to do taxes through Turbo Tax - problems w/ Tax Act USA?,,,,,Done
Change mailing address at all credit cards/banks/etc. !,,,,,Done
Check Windows on Minix - uninstall all un-needed apps - transfer to linux - fix microsd card issues - update?,Glenn Dixon,,,,Done
download Bohemian Rhapsody,,,,,Done
rip Rich's CD's on laptop,,,,,Done
Backup and delete NextCloud data and account,,,,,Done
download Dawn Wall,,,,,Done
Set up Bitwarden - import from LastPass,,,,,Done
Build MegaSync package - download Dawn Wall movie,,,,,Done
Turn off forwarding for all email accounts,Glenn Dixon,,,,Done
Change all web site emails from dixonge@outlook.com to donblanco@posteo.net,Glenn Dixon,,,,Done
Change all web site emails from diganminombre@gmail.com to donblanco@posteo.net,Glenn Dixon,,,,Done
Install all apps/utilities used in Ubuntu,Glenn Dixon,,,,Done
⅝ 🍅 -1 🍅 Change all web site emails from dixonge@gmail.com to donblanco@posteo.net,Glenn Dixon,,,,Done
Find Wings data on iCloud?,Glenn Dixon,,,,Done
