Title,Tags,Date
Hitting the Road,[[Oklahoma]],"Apr 1, 2011"
tales-tiki-bar-1,[[Oklahoma]],"Apr 19, 2011"
Wichita Mountains National Wildlife Refuge,[[Oklahoma]],"Apr 20, 2011"
Us vs. Mother Nature,[[Oklahoma]],"Apr 21, 2011"
"Amarillo, Texas",[[Texas]],"May 2, 2011"
"Albuquerque, New Mexico",[[New Mexico]],"May 8, 2011"
Sandia Peak,[[New Mexico]],"May 10, 2011"
Tales from the Tiki Bar - Tinkertown,[[New Mexico]],"Jun 5, 2011"
Welcome to New Mexico - Again,[[New Mexico]],"May 9, 2011"
Vive les Français!,[[New Mexico]],"May 14, 2011"
A Bigger Tent -- on Wheels,[[New Mexico]],"May 20, 2011"
The Tiki BaRV -- a Reality!,[[New Mexico]],"May 22, 2011"
Communications on the Road: Update,[[New Mexico]],"May 8, 2011"
"Tales from Vagabondia, the Ancient Way",[[New Mexico]],"Jun 1, 2011"
Tails from the Tiki Bar,[[New Mexico]],"May 25, 2011"
Tales from the Tiki Bar 2,[[New Mexico]],"May 10, 2011"
Learning to Chill,[[New Mexico]],"Jun 1, 2011"
Bosque del Apache,[[New Mexico]],"May 17, 2011"
The Very Large Array,[[New Mexico]],"May 19, 2011"
cooking-gas,[[New Mexico]],"Jun 4, 2011"
"Wallow Fire, Eastern Arizona",[[Arizona]],"Jun 6, 2011"
"Winslow, Arizona",[[Arizona]],"Jun 8, 2011"
"Williams, Arizona",[[Arizona]],"Jun 17, 2011"
grand-canyon-introduction,[[Arizona]],"Jun 12, 2011"
Grand Canyon - North Rim,[[Arizona]],"Jun 20, 2011"
Hoodoo You Think You Are?,[[Utah]],"Jun 30, 2011"
Bryce Canyon National Park,[[Utah]],"Jun 29, 2011"
tales-tiki-bar-universe-speaks,[[California]],"Jul 3, 2011"
tales-tiki-bar-awesome-people,[[California]],"Jul 5, 2011"
Sequoia/King's Canyon National Parks,[[California]],"Jul 11, 2011"
Yosemite,[[California]],"Jul 19, 2011"
San Francisco,[[California]],"Jul 27, 2011"
"Napa Valley, California",[[California]],"Jul 28, 2011"
tales-tiki-bar-napa-baby,[[California]],"Jul 29, 2011"
"Humboldt Redwoods, California",[[California]],"Jul 30, 2011"
Exploring Prairie Creek Redwoods State Park,[[California]],"Aug 4, 2011"
Grove of Titans,[[California]],"Aug 3, 2011"
"The Lost Coast, California",[[California]],"Aug 1, 2011"
A Special Whale,[[California]],"Aug 2, 2011"
Oregon Coast,[[Oregon]],"Aug 7, 2011"
Mount St. Helens,[[Washington]],"Aug 10, 2011"
seattle,[[Washington]],"Aug 18, 2011"
washington-montana,[[Washington]],[[Idaho]],[[Wyoming]],[[Montana]],"Aug 20, 2011"
Big Sky,[[Montana]],"Aug 23, 2011"
wyoming,[[Wyoming]],"Sep 1, 2011"
yellowstone,[[Wyoming]],"Aug 31, 2011"
Wyoming to Minnesota,[[Wyoming]],[[Montana]],[[North Dakota]],[[Minnesota]],"Sep 6, 2011"
minnesota-its-flat,[[Minnesota]],"Sep 7, 2011"
leopold-center-baraboo-wisconsin,[[Wisconsin]],"Sep 12, 2011"
international-crane-foundation-baraboo-wisconsin,[[Wisconsin]],"Sep 13, 2011"
wisconsin-dells,[[Wisconsin]],"Sep 14, 2011"
"Anywhere in Texas, RFD",[[Texas]],"Nov 8, 2011"
Musings on Being Homeless After Seven Months,[[Texas]],"Jan 4, 2012"
glenn-2-0-2011-review,[[Texas]],"Jan 9, 2012"
"Circus Museum - Baraboo, Wi",[[Wisconsin]],"Sep 13, 2011"
"Ely, MN",[[Minnesota]],"Sep 9, 2011"
"Chicago, IL",[[Illinois]],"Sep 16, 2011"
Michigan,[[Michigan]],"Oct 6, 2011"
Ohio - Genealogy,[[Ohio]],"Oct 15, 2011"
"Youngstown, OH",[[Ohio]],"Oct 7, 2011"
"Cincinnati, OH",[[Ohio]],"Oct 15, 2011"
Illinois,[[Illinois]],"Oct 20, 2011"
"Burlington, Iowa",[[Iowa]],"Oct 29, 2011"
Kansas,[[Kansas]],"Nov 2, 2011"
"Joplin, MO",[[Missouri]],"Nov 3, 2011"
"Oklahoma City, OK",[[Oklahoma]],"Nov 4, 2011"
